,id,item_id,position,path,protocol,mimetype,checksum,orientation,metadata,size,page,color,density,filename
79,160,159,,mnemonic_icons3_dialogo_accrescere_memoria.jpg,file,image/jpeg,85463d18be6b5f25309048dba2cfe545,1,{},84456,0,"rgb(248,248,248,1)",,mnemonic_icons3_dialogo_accrescere_memoria.jpg
80,162,161,,mnemonic_objects_dialogo_accrescere_memoria.jpg,file,image/jpeg,d0d5005c90e64b1092e6b1e4ad945253,1,{},146756,0,"rgb(216,216,200,1)",,mnemonic_objects_dialogo_accrescere_memoria.jpg
81,164,163,,moon_phases_ars_magna_lucis.jpg,file,image/jpeg,e8a6f0cf0c6c38ba78745547a131a1dd,1,{},176228,0,"rgb(232,184,152,1)",,moon_phases_ars_magna_lucis.jpg
82,166,165,,obelisk_hieroglyphica.png,file,image/png,92a056a806e317288b5a242c161287b5,1,{},359433,0,"rgb(168,152,136,1)",,obelisk_hieroglyphica.png
83,168,167,,projections_solid_unterweysung.jpg,file,image/jpeg,668694be4166d2432c411632ea49be4b,1,{},1549799,0,"rgb(248,248,232,1)",,projections_solid_unterweysung.jpg
84,170,169,,projections_unterweysung.jpg,file,image/jpeg,b3dfdc3c682566efde07783d1b642e56,1,{},1534132,0,"rgb(248,248,232,1)",,projections_unterweysung.jpg
85,172,171,,rethoric_symbols_1_logica_memorativa.png,file,image/png,b1f888c0a7dd877611e5882095bd4858,1,{},634487,0,"rgb(216,200,168,1)",,rethoric_symbols_1_logica_memorativa.png
86,174,173,,rethoric_symbols_2_logica_memorativa.png,file,image/png,1438c1714a020127adcd5d65397e86b7,1,{},382699,0,"rgb(200,184,168,1)",,rethoric_symbols_2_logica_memorativa.png
87,176,175,,ruota_detail_fludd.png,file,image/png,17c7bda390f5d1139e438cef2a359fc7,1,{},288543,0,"rgb(255,255,255,1)",,ruota_detail_fludd.png
88,178,177,,ruota_detail_fludd_vg.svg,file,image/svg+xml,d981b65b820e0be9de0cbb5a6fcd41ee,1,{},170587,0,"rgb(255,255,255,1)",72.0,ruota_detail_fludd_vg.svg
89,180,179,,separator_steganographia.png,file,image/png,45ab77a15d04350e7b0c3537243b94a1,1,{},741492,0,"rgb(184,152,120,1)",,separator_steganographia.png
90,182,181,,separator_steganographia_vg.svg,file,image/svg+xml,26803472a67b839c3974a9a070b25294,1,{},79497,0,"rgb(255,255,255,1)",72.0,separator_steganographia_vg.svg
91,184,183,,summa_summarum_logica_memorativa.png,file,image/png,819376649a7f1e33e865d4c010927c11,1,{},351500,0,"rgb(200,184,168,1)",,summa_summarum_logica_memorativa.png
92,186,185,,tableau_des_riches_inventions_artefacts.png,file,image/png,af498869fa310d4cb08400171afaccbb,1,{},2052432,0,"rgb(232,216,184,1)",,tableau_des_riches_inventions_artefacts.png
93,188,187,,tableau_des_riches_inventions_circle_time.png,file,image/png,6360a171eb519e8de9b3641fe60f5de8,1,{},2030748,0,"rgb(232,216,184,1)",,tableau_des_riches_inventions_circle_time.png
94,190,189,,tableau_des_riches_inventions_temple.png,file,image/png,397d153ae86ed3e0c616b47c4b92271f,1,{},926450,0,"rgb(232,216,184,1)",,tableau_des_riches_inventions_temple.png
