,value_id,datatype,text,data
166,167,http://www.w3.org/2001/XMLSchema#string,projections_solid_unterweysung,
167,168,https://tropy.org/v1/tropy#date,2025-04-11T12:31:55.448Z,
168,169,http://www.w3.org/2001/XMLSchema#string,projections_unterweysung,
169,170,https://tropy.org/v1/tropy#date,2025-04-11T12:30:06.914Z,
170,171,http://www.w3.org/2001/XMLSchema#string,rethoric_symbols_1_logica_memorativa,
171,172,https://tropy.org/v1/tropy#date,2025-04-03T14:43:39.866Z,
172,173,http://www.w3.org/2001/XMLSchema#string,rethoric_symbols_2_logica_memorativa,
173,174,https://tropy.org/v1/tropy#date,2025-04-03T14:43:48.379Z,
174,175,http://www.w3.org/2001/XMLSchema#string,ruota_detail_fludd,
175,176,http://www.w3.org/2001/XMLSchema#string,ruota_detail_fludd_vg,
176,177,https://tropy.org/v1/tropy#date,2025-04-22T08:11:47.926Z,
177,178,http://www.w3.org/2001/XMLSchema#string,separator_steganographia,
178,179,https://tropy.org/v1/tropy#date,2025-03-19T15:46:26.176Z,
179,180,http://www.w3.org/2001/XMLSchema#string,separator_steganographia_vg,
180,181,https://tropy.org/v1/tropy#date,2025-03-19T15:47:22.014Z,
181,182,http://www.w3.org/2001/XMLSchema#string,summa_summarum_logica_memorativa,
182,183,https://tropy.org/v1/tropy#date,2025-04-03T14:43:33.537Z,
183,184,http://www.w3.org/2001/XMLSchema#string,tableau_des_riches_inventions_artefacts,
184,185,https://tropy.org/v1/tropy#date,2025-04-16T07:15:01.891Z,
185,186,http://www.w3.org/2001/XMLSchema#string,tableau_des_riches_inventions_circle_time,
186,187,https://tropy.org/v1/tropy#date,2025-04-16T07:14:12.514Z,
187,188,http://www.w3.org/2001/XMLSchema#string,tableau_des_riches_inventions_temple,
188,189,https://tropy.org/v1/tropy#date,2025-04-16T07:13:25.562Z,
189,190,http://www.w3.org/2001/XMLSchema#string,tableau_des_riches_running_dragon,
190,191,https://tropy.org/v1/tropy#date,2025-04-16T07:15:47.922Z,
191,192,http://www.w3.org/2001/XMLSchema#string,unterweysung_a,
192,193,https://tropy.org/v1/tropy#date,1744976868000.0,
193,194,http://www.w3.org/2001/XMLSchema#string,unterweysung_b,
194,195,https://tropy.org/v1/tropy#date,1744976907000.0,
195,196,http://www.w3.org/2001/XMLSchema#string,unterweysung_d,
196,197,https://tropy.org/v1/tropy#date,1744977353000.0,
197,198,http://www.w3.org/2001/XMLSchema#string,unterweysung_f,
198,199,https://tropy.org/v1/tropy#date,1744977274000.0,
199,200,http://www.w3.org/2001/XMLSchema#string,unterweysung_g,
200,201,https://tropy.org/v1/tropy#date,1744977102000.0,
201,202,http://www.w3.org/2001/XMLSchema#string,unterweysung_h,
202,203,https://tropy.org/v1/tropy#date,1744977161000.0,
203,204,http://www.w3.org/2001/XMLSchema#string,unterweysung_i,
204,205,https://tropy.org/v1/tropy#date,1744977122000.0,
205,206,http://www.w3.org/2001/XMLSchema#string,unterweysung_l,
206,207,https://tropy.org/v1/tropy#date,1744977249000.0,
207,208,http://www.w3.org/2001/XMLSchema#string,unterweysung_m,
208,209,https://tropy.org/v1/tropy#date,1744977049000.0,
209,210,http://www.w3.org/2001/XMLSchema#string,unterweysung_n,
210,211,https://tropy.org/v1/tropy#date,1744977074000.0,
211,212,http://www.w3.org/2001/XMLSchema#string,unterweysung_o,
212,213,https://tropy.org/v1/tropy#date,1744977222000.0,
213,214,http://www.w3.org/2001/XMLSchema#string,unterweysung_p,
214,215,https://tropy.org/v1/tropy#date,1744977190000.0,
215,216,http://www.w3.org/2001/XMLSchema#string,unterweysung_r,
216,217,https://tropy.org/v1/tropy#date,1744977011000.0,
217,218,http://www.w3.org/2001/XMLSchema#string,unterweysung_s,
218,219,https://tropy.org/v1/tropy#date,1744976990000.0,
219,220,http://www.w3.org/2001/XMLSchema#string,unterweysung_v,
220,221,https://tropy.org/v1/tropy#date,1744976965000.0,
221,222,http://www.w3.org/2001/XMLSchema#string,unterweysung_y,
222,223,https://tropy.org/v1/tropy#date,1744977306000.0,
223,224,http://www.w3.org/2001/XMLSchema#string,wheel_alphabeth_dialogo_accrescere_memoria,
224,225,https://tropy.org/v1/tropy#date,2025-03-19T15:35:16.903Z,
225,226,http://www.w3.org/2001/XMLSchema#string,wheel_logica_memorativa,
226,227,https://tropy.org/v1/tropy#date,2025-04-03T14:44:55.555Z,
227,228,http://www.w3.org/2001/XMLSchema#string,wheel_logica_memorativa_vg,
228,229,https://tropy.org/v1/tropy#date,2025-04-22T12:14:07.008Z,
229,230,http://www.w3.org/2001/XMLSchema#string,wheel_logica_memorativa_white,
230,231,https://tropy.org/v1/tropy#date,2025-04-22T12:15:04.217Z,
231,232,http://www.w3.org/2001/XMLSchema#string,wois-background,
232,233,https://tropy.org/v1/tropy#date,2025-04-24T11:40:39.694Z,
233,234,http://www.w3.org/2001/XMLSchema#string,wois-logo,
234,235,https://tropy.org/v1/tropy#date,2025-04-18T10:13:14.433Z,
235,236,http://www.w3.org/2001/XMLSchema#string,wois-logo_vg,
236,237,https://tropy.org/v1/tropy#date,2025-04-18T10:15:07.452Z,
237,238,http://www.w3.org/2001/XMLSchema#string,wois_cogwheel_white,
238,239,https://tropy.org/v1/tropy#date,2025-04-22T08:15:22.278Z,
239,240,http://www.w3.org/2001/XMLSchema#string,wois_icon,
240,241,https://tropy.org/v1/tropy#date,2025-04-22T08:12:55.471Z,
241,242,http://www.w3.org/2001/XMLSchema#string,wois_logo_title,
242,243,https://tropy.org/v1/tropy#date,2025-04-22T08:06:57.097Z,
