"Object ID",FAAM-ID,Title,"Editorial annotations - Object ID","Handwritten annotations - Object ID"
15992290,KCA-030902125688,"Allegro con fuoco",,15992128
15992290,KCA-030902125688,"Allegro con fuoco",,15992127
15992290,KCA-030902125688,"Allegro con fuoco",,15992124
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992229
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992153
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992113
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992127
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992152
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992201
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992203
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992204
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992177
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15992116
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15996291
15992294,KCA-030901779030,"Parisina: inleiding van het drama",,15996285
15992295,KCA-030902137303,"Het piknikje",,15992110
15992295,KCA-030902137303,"Het piknikje",,16002137
15992295,KCA-030902137303,"Het piknikje",,15992105
15992295,KCA-030902137303,"Het piknikje",,15996285
15992295,KCA-030902137303,"Het piknikje",,15992131
15992296,KCA-030902610788,"Het hemelbed : ballet . Halewijn : pianouitreksel . Blaaskwintet",,15996285
15992296,KCA-030902610788,"Het hemelbed : ballet . Halewijn : pianouitreksel . Blaaskwintet",,16002137
15992296,KCA-030902610788,"Het hemelbed : ballet . Halewijn : pianouitreksel . Blaaskwintet",,15992116
15992296,KCA-030902610788,"Het hemelbed : ballet . Halewijn : pianouitreksel . Blaaskwintet",,15992180
15992296,KCA-030902610788,"Het hemelbed : ballet . Halewijn : pianouitreksel . Blaaskwintet",,15992220
15992297,KCA-030904383624,"Dominus conserveteum : à 4 voix",,15992131
15992297,KCA-030904383624,"Dominus conserveteum : à 4 voix",,15992179
15992297,KCA-030904383624,"Dominus conserveteum : à 4 voix",,15992116
15992298,KCA-030902126678,Andromeda,,15992201
15992298,KCA-030902126678,Andromeda,,15992203
15992298,KCA-030902126678,Andromeda,,15992204
15992298,KCA-030902126678,Andromeda,,15992127
15992298,KCA-030902126678,Andromeda,,15992116
15992298,KCA-030902126678,Andromeda,,15992105
15992298,KCA-030902126678,Andromeda,,15992216
15992298,KCA-030902126678,Andromeda,,15992179
15992298,KCA-030902126678,Andromeda,,15996285
15992298,KCA-030902126678,Andromeda,,15996291
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,15992201
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,15992116
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,15992124
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,15992125
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,15992105
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,15992177
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,15992203
15992300,KCA-030901519410,"Andante: per clavicembalo",,15992177
15992300,KCA-030901519410,"Andante: per clavicembalo",,15992152
15992300,KCA-030901519410,"Andante: per clavicembalo",,15992203
15992300,KCA-030901519410,"Andante: per clavicembalo",,15992204
15992300,KCA-030901519410,"Andante: per clavicembalo",,15996291
15992301,KCA-030902584132,"Action de grâces : voor orgel",,15992131
15992301,KCA-030902584132,"Action de grâces : voor orgel",,15992112
15992302,KCA-030902419677,Capricio,,15992212
15992302,KCA-030902419677,Capricio,,15992105
