"Object ID",FAAM-ID,Title,Permalink,"Holding Institution",Shelfmark,"Related Manifestations","Score format",Keywords,Instrumentation,"Score complexity",Thumbnail,Notes,"Notes - Text","GitHub Image URL"
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,horn,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,"alto horn","Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,trombone,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,"baritone horn","Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,tuba,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,"double bass","Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992261,KCA-030902639415,"Légende du Doudou",https://anet.be/record/opacdkvc/c:lvd:12957071/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BAUDO-legende-1,,Parts,arrangement,drum,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902639415.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902639415/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score",rondo,violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score",rondo,piano,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score","chamber music",violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score","chamber music",piano,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score",fantasia,violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score",fantasia,piano,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score",duet,violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992262,KCA-030902500674,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,"Full Score",duet,piano,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500674.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500674/images/
15992263,KCA-030902500666,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,Parts,duet,violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500666.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500666/images/
15992263,KCA-030902500666,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,Parts,fantasia,violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500666.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500666/images/
15992263,KCA-030902500666,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,Parts,"chamber music",violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500666.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500666/images/
15992263,KCA-030902500666,"Rondo fantasque: pour violon et piano",https://anet.be/record/opacdkvc/c:lvd:12943599/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-BOUSE-rondo-2,,Parts,rondo,violin,"Lithographic quality",https://faam.laboxix-xx.be/upload/media/KCA-030902500666.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902500666/images/
15992264,KCA-030901511763,"Troisième symphonie",https://anet.be/record/opacdkvc/c:lvd:12886359/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-CHEVR-symf3-1,,"Full Score",symphony,orchestra,"Manuscript sketch",https://faam.laboxix-xx.be/upload/media/KCA-030901511763.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901511763/images/
15992264,KCA-030901511763,"Troisième symphonie",https://anet.be/record/opacdkvc/c:lvd:12886359/N,"Heritage Library Royal Conservatoire Antwerp",MM-DUBP-CHEVR-symf3-1,,"Full Score","symphonic music",orchestra,"Manuscript sketch",https://faam.laboxix-xx.be/upload/media/KCA-030901511763.gif,,,https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901511763/images/
