Name,"Form of creative work","Wikidata QID","IMSLP ID","VIAF ID",composer,arranger
"Miserere, IGA 2",motet,Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Archibald Thompson Davison"
"Miserere, IGA 2",motet,Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Alexandre-Étienne Choron"
"Miserere, IGA 2",motet,Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Stephan Lück"
"Miserere, IGA 2","liturgical music",Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Napoléon Joseph Ney"
"Miserere, IGA 2","liturgical music",Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Frank Damrosch"
"Miserere, IGA 2","liturgical music",Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Archibald Thompson Davison"
"Miserere, IGA 2","liturgical music",Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Alexandre-Étienne Choron"
"Miserere, IGA 2","liturgical music",Q1576091,"Miserere (Allegri, Gregorio)",185080354,"Gregorio Allegri","Stephan Lück"
"Loquebantur variis linguis apostoli, IGP 35",motet,,"Loquebantur variis linguis (Palestrina, Giovanni Pierluigi da)",,,"Franz Espagne"
"Loquebantur variis linguis apostoli, IGP 35",motet,,"Loquebantur variis linguis (Palestrina, Giovanni Pierluigi da)",,,"Karl Proske"
"Loquebantur variis linguis apostoli, IGP 35",motet,,"Loquebantur variis linguis (Palestrina, Giovanni Pierluigi da)",,,"Charles Bordes"
"Loquebantur variis linguis apostoli, IGP 35",motet,,"Loquebantur variis linguis (Palestrina, Giovanni Pierluigi da)",,,"Stephan Lück"
"Missa Secunda",mass,Q124358304,"Missa Secunda (Hassler, Hans Leo)",,"Hans Leo Hassler","Franz Xaver Witt"
"Missa Hodie Christus natus est",mass,Q124316823,"Missa Hodie Christus natus est (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Xaver Witt"
"Missa Hodie Christus natus est","parody mass",Q124316823,"Missa Hodie Christus natus est (Palestrina, Giovanni Pierluigi da)",,"Giovanni Pierluigi da Palestrina","Franz Xaver Witt"
"Confirma hoc Deus",motet,Q124358714,,,"Jacobus Gallus","Stephan Lück"
"Confirma hoc Deus",motet,Q124358714,,,"Jacobus Gallus","Karl Proske"
"Confirma hoc Deus","liturgical music",Q124358714,,,"Jacobus Gallus","Stephan Lück"
"Confirma hoc Deus","liturgical music",Q124358714,,,"Jacobus Gallus","Karl Proske"
"Cum jucunditate",motet,,"Cum jucunditate (Bai, Tommaso)",,"Tommaso Bai","Stephan Lück"
"Cum jucunditate",motet,,"Cum jucunditate (Bai, Tommaso)",,"Tommaso Bai","Karl Proske"
"Regina caeli laetare, LV 1079",motet,Q124315956,"Regina caeli laetare, LV 1079 (Lassus, Orlande de)",,"Orlande de Lassus","Napoléon Joseph Ney"
"Regina caeli laetare, LV 1079",motet,Q124315956,"Regina caeli laetare, LV 1079 (Lassus, Orlande de)",,"Orlande de Lassus","Franz Xaver Haberl"
"Regina caeli laetare, LV 1079","Marian hymn",Q124315956,"Regina caeli laetare, LV 1079 (Lassus, Orlande de)",,"Orlande de Lassus","Napoléon Joseph Ney"
"Regina caeli laetare, LV 1079","Marian hymn",Q124315956,"Regina caeli laetare, LV 1079 (Lassus, Orlande de)",,"Orlande de Lassus","Franz Xaver Haberl"
"Regina caeli laetare, LV 1079","liturgical music",Q124315956,"Regina caeli laetare, LV 1079 (Lassus, Orlande de)",,"Orlande de Lassus","Napoléon Joseph Ney"
"Regina caeli laetare, LV 1079","liturgical music",Q124315956,"Regina caeli laetare, LV 1079 (Lassus, Orlande de)",,"Orlande de Lassus","Franz Xaver Haberl"
"Stabat Mater, IGP 90","liturgical music",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Richard Wagner"
"Stabat Mater, IGP 90","liturgical music",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Napoléon Joseph Ney"
"Stabat Mater, IGP 90","liturgical music",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","Charles Bordes"
"Stabat Mater, IGP 90","liturgical music",Q11894350,"Stabat Mater, IGP 90 (Palestrina, Giovanni Pierluigi da)",148152684042923430002,"Giovanni Pierluigi da Palestrina","William Barclay Squire"
