"Object ID",Name,"Wikidata QID","subclass of - Object ID","instance of - Object ID","musical parameter - Object ID","used by - Object ID"
15992216,ritenuto,Q1646162,15992105,15992106,16002774,15990792
15992217,stringendo,Q2735115,15992105,15992106,16002774,15990789
15992217,stringendo,Q2735115,15992105,15992106,16002774,15990793
15992217,stringendo,Q2735115,15992105,15992106,16002774,15990790
15992218,"ma non troppo",Q2517964,15992105,15992106,,15990789
15992218,"ma non troppo",Q2517964,15992105,15992106,,15990793
15992218,"ma non troppo",Q2517964,15992105,15992106,,15990790
15992222,"tactus subdivision",,15992105,15992102,16002774,15990793
15992223,"tempo primo",Q2158106,15992105,15992106,16002774,15990789
15992223,"tempo primo",Q2158106,15992105,15992106,16002774,15990793
15992224,tenuto,Q1542153,15992105,15992106,16002774,15990792
15992224,tenuto,Q1542153,15992105,15992106,16002774,15990789
15992224,tenuto,Q1542153,15992105,15992106,16002774,15990793
15992224,tenuto,Q1542153,15992105,15992106,15992192,15990792
15992224,tenuto,Q1542153,15992105,15992106,15992192,15990789
15992224,tenuto,Q1542153,15992105,15992106,15992192,15990793
15992224,tenuto,Q1542153,15992105,15992148,16002774,15990792
15992224,tenuto,Q1542153,15992105,15992148,16002774,15990789
15992224,tenuto,Q1542153,15992105,15992148,16002774,15990793
15992224,tenuto,Q1542153,15992105,15992148,15992192,15990792
15992224,tenuto,Q1542153,15992105,15992148,15992192,15990789
15992224,tenuto,Q1542153,15992105,15992148,15992192,15990793
15992224,tenuto,Q1542153,15992162,15992106,16002774,15990792
15992224,tenuto,Q1542153,15992162,15992106,16002774,15990789
15992224,tenuto,Q1542153,15992162,15992106,16002774,15990793
15992224,tenuto,Q1542153,15992162,15992106,15992192,15990792
15992224,tenuto,Q1542153,15992162,15992106,15992192,15990789
15992224,tenuto,Q1542153,15992162,15992106,15992192,15990793
15992224,tenuto,Q1542153,15992162,15992148,16002774,15990792
15992224,tenuto,Q1542153,15992162,15992148,16002774,15990789
15992224,tenuto,Q1542153,15992162,15992148,16002774,15990793
15992224,tenuto,Q1542153,15992162,15992148,15992192,15990792
15992224,tenuto,Q1542153,15992162,15992148,15992192,15990789
15992224,tenuto,Q1542153,15992162,15992148,15992192,15990793
15992225,arco,,16002775,15992106,15992227,15990792
15992225,arco,,16002775,15992106,15992227,15990793
15992225,arco,,16002775,15992106,15992192,15990792
15992225,arco,,16002775,15992106,15992192,15990793
15992225,arco,,16002775,15992148,15992227,15990792
15992225,arco,,16002775,15992148,15992227,15990793
15992225,arco,,16002775,15992148,15992192,15990792
15992225,arco,,16002775,15992148,15992192,15990793
15992225,arco,,15992143,15992106,15992227,15990792
15992225,arco,,15992143,15992106,15992227,15990793
15992225,arco,,15992143,15992106,15992192,15990792
15992225,arco,,15992143,15992106,15992192,15990793
15992225,arco,,15992143,15992148,15992227,15990792
15992225,arco,,15992143,15992148,15992227,15990793
15992225,arco,,15992143,15992148,15992192,15990792
15992225,arco,,15992143,15992148,15992192,15990793
15992226,pizzicato,Q213460,15992143,15992106,15992227,15990792
15992226,pizzicato,Q213460,15992143,15992106,15992227,15990793
15992226,pizzicato,Q213460,15992143,15992106,15992192,15990792
15992226,pizzicato,Q213460,15992143,15992106,15992192,15990793
15992226,pizzicato,Q213460,15992143,15992148,15992227,15990792
15992226,pizzicato,Q213460,15992143,15992148,15992227,15990793
15992226,pizzicato,Q213460,15992143,15992148,15992192,15990792
15992226,pizzicato,Q213460,15992143,15992148,15992192,15990793
15992228,"string harmonic",Q576006,,15992106,15992227,15990792
15992228,"string harmonic",Q576006,,15992106,15992227,15990789
15992228,"string harmonic",Q576006,,15992148,15992227,15990792
15992228,"string harmonic",Q576006,,15992148,15992227,15990789
15992229,bowing,Q9338812,16002775,15992106,15992227,15990792
15992229,bowing,Q9338812,16002775,15992106,15992227,15990793
15992229,bowing,Q9338812,16002775,15992148,15992227,15990792
15992229,bowing,Q9338812,16002775,15992148,15992227,15990793
15992230,"engage pedal",Q124518660,16002775,15992106,15992227,15990792
15992230,"engage pedal",Q124518660,16002775,15992106,15992227,15990790
15992230,"engage pedal",Q124518660,16002775,15992106,15992227,15990789
15992230,"engage pedal",Q124518660,16002775,15992106,15992192,15990792
15992230,"engage pedal",Q124518660,16002775,15992106,15992192,15990790
15992230,"engage pedal",Q124518660,16002775,15992106,15992192,15990789
15992232,"una corda",,16002775,15992106,15992227,15990792
15992232,"una corda",,16002775,15992106,15992227,15990789
15992232,"una corda",,16002775,15992106,15992227,15990790
15992232,"una corda",,16002775,15992106,15992192,15990792
15992232,"una corda",,16002775,15992106,15992192,15990789
15992232,"una corda",,16002775,15992106,15992192,15990790
15992233,"tre le corde",,16002775,15992106,15992227,15990789
15992233,"tre le corde",,16002775,15992106,15992227,15990790
15992233,"tre le corde",,16002775,15992106,15992227,15990792
15992233,"tre le corde",,16002775,15992106,15992192,15990789
15992233,"tre le corde",,16002775,15992106,15992192,15990790
15992233,"tre le corde",,16002775,15992106,15992192,15990792
15992231,"release pedal",Q124518670,16002775,15992106,15992192,15990792
15992231,"release pedal",Q124518670,16002775,15992106,15992192,15990790
15992231,"release pedal",Q124518670,16002775,15992106,15992192,15990789
15992231,"release pedal",Q124518670,16002775,15992106,15992227,15990792
15992231,"release pedal",Q124518670,16002775,15992106,15992227,15990790
15992231,"release pedal",Q124518670,16002775,15992106,15992227,15990789
15992234,portato,Q1930998,15992143,15992106,16002774,15990793
15992234,portato,Q1930998,15992143,15992106,16002774,15990789
15992234,portato,Q1930998,15992143,15992106,16002774,15990792
15992234,portato,Q1930998,15992143,15992106,15992227,15990793
15992234,portato,Q1930998,15992143,15992106,15992227,15990789
15992234,portato,Q1930998,15992143,15992106,15992227,15990792
15992234,portato,Q1930998,15992143,15992148,16002774,15990793
15992234,portato,Q1930998,15992143,15992148,16002774,15990789
15992234,portato,Q1930998,15992143,15992148,16002774,15990792
15992234,portato,Q1930998,15992143,15992148,15992227,15990793
15992234,portato,Q1930998,15992143,15992148,15992227,15990789
15992234,portato,Q1930998,15992143,15992148,15992227,15990792
15992234,portato,Q1930998,15992156,15992106,16002774,15990793
15992234,portato,Q1930998,15992156,15992106,16002774,15990789
15992234,portato,Q1930998,15992156,15992106,16002774,15990792
15992234,portato,Q1930998,15992156,15992106,15992227,15990793
15992234,portato,Q1930998,15992156,15992106,15992227,15990789
15992234,portato,Q1930998,15992156,15992106,15992227,15990792
15992234,portato,Q1930998,15992156,15992148,16002774,15990793
15992234,portato,Q1930998,15992156,15992148,16002774,15990789
15992234,portato,Q1930998,15992156,15992148,16002774,15990792
15992234,portato,Q1930998,15992156,15992148,15992227,15990793
15992234,portato,Q1930998,15992156,15992148,15992227,15990789
15992234,portato,Q1930998,15992156,15992148,15992227,15990792
15992234,portato,Q1930998,16002509,15992106,16002774,15990793
15992234,portato,Q1930998,16002509,15992106,16002774,15990789
15992234,portato,Q1930998,16002509,15992106,16002774,15990792
15992234,portato,Q1930998,16002509,15992106,15992227,15990793
15992234,portato,Q1930998,16002509,15992106,15992227,15990789
15992234,portato,Q1930998,16002509,15992106,15992227,15990792
15992234,portato,Q1930998,16002509,15992148,16002774,15990793
15992234,portato,Q1930998,16002509,15992148,16002774,15990789
15992234,portato,Q1930998,16002509,15992148,16002774,15990792
15992234,portato,Q1930998,16002509,15992148,15992227,15990793
15992234,portato,Q1930998,16002509,15992148,15992227,15990789
15992234,portato,Q1930998,16002509,15992148,15992227,15990792
15996285,signature,Q188675,,,,15990789
15996285,signature,Q188675,,,,15990793
15996285,signature,Q188675,,,,15990792
15996294,slur,Q863575,15992143,15992106,16002774,15990793
15996294,slur,Q863575,15992143,15992106,16002774,15990792
15996294,slur,Q863575,15992143,15992106,16002774,15990790
15996294,slur,Q863575,15992143,15992106,15992227,15990793
15996294,slur,Q863575,15992143,15992106,15992227,15990792
15996294,slur,Q863575,15992143,15992106,15992227,15990790
15996298,citation,Q1713,,,,15990790
15996298,citation,Q1713,,,,15990791
15996307,"ink stamp",Q57305415,,15996306,,15990791
15996318,"ad libitum",Q310735,15992162,15992106,16002391,15990792
15996318,"ad libitum",Q310735,15992162,15992106,16002391,15990789
15996318,"ad libitum",Q310735,15992162,15992106,16002774,15990792
15996318,"ad libitum",Q310735,15992162,15992106,16002774,15990789
