"Object ID",Name,"Wikidata QID","GeoNames ID"
15998264,"Gwalior State",Q1557792,
15998263,"Duchy of Courland and Semigallia",Q156038,
15998262,"Republic of Central Albania",Q1562357,
15998261,"Kingdom of Hawaiʻi",Q156418,
15998260,"Serbian-Hungarian Baranya-Baja Republic",Q156506,
15998259,Brandenburg-Prussia,Q157367,
15998258,"People's Republic of Zanzibar",Q157535,
15998257,"Muscat and Oman",Q157734,
15998256,"Sultanate of Zanzibar",Q157904,
15998255,"Kénédougou Kingdom",Q15824804,
15998254,"Grand Duchy of Mecklenburg-Schwerin",Q158445,
15998253,"Kong Empire",Q1587244,
15998252,"Thanjavur Nayak kingdom",Q1588434,
15998251,"Panna State",Q1588594,
15998250,"Second Chui Volost",Q15921577,
15998249,"Kingdom of Württemberg",Q159631,
15998248,"Ratlam State",Q1604981,
15998247,"Siberian Republic",Q1606043,
15998246,"Savanur State",Q1607154,
15998245,"Grand Duchy of Mecklenburg-Strelitz",Q161215,
15998244,"Kingdom of Larantuka",Q16188096,
15998243,"Kingdom of Great Britain",Q161885,
15998242,"Riograndense Republic",Q162192,
15998241,"Kingdom of Garo",Q1623936,
15998240,"Karabakh Khanate",Q1636212,
15998239,"Mountainous Republic of the Northern Caucasus",Q1639475,
15998238,"Kingdom of Hanover",Q164079,
15998237,"Upper Aulaqi Sheikhdom",Q1641428,
15998236,"Iceland under home rule",Q16427214,
15998235,"Idel-Ural State",Q1649290,
15998234,"Duchy of Parma and Piacenza",Q165040,
15998233,"Kingdom of Sardinia",Q165154,
15998232,"Kingdom of Sardinia",Q165154,
15998231,"Duchy of Anhalt",Q16550783,
15998230,"Idrisid Emirate of Asir",Q1656908,
15998229,"Raj of Sarawak",Q1658411,
15998228,"Genoese Republic",Q16595757,
15998227,"Principality of Masserano",Q16601665,
15998226,"Sultanate of Banjar",Q1660566,
15998225,"Kingdom of Niumi",Q1661321,
15998224,"Kazan kingdom",Q16656928,
15998223,"Kingdom of Kampuchea",Q16673775,
15998222,"Federal Islamic Republic of the Comoros",Q16674377,
15998221,"State of the Comoros",Q16685842,
15998220,"Russian republic",Q16692637,
15998219,"Republika Srpska",Q16761250,
15998218,"Jamkhandi State",Q1681450,
15998217,"State of Bahrain",Q16826607,
15998216,"Jaora State",Q1683106,
15998215,"Jasdan State",Q1683756,
15998214,"Jashpur State",Q1683780,
15998213,"Gangpur State",Q16838406,
15998212,"Kingdom of Jolof",Q16850784,
15998211,"Sultanate of Muscat",Q16881283,
15998210,Yettishar,Q1688526,
15998209,"Jhabua State",Q1688822,
15998208,"British Military Administration",Q16953965,
15998207,"Kingdom of the Morea",Q16958904,
15998206,"Dutch Republic",Q170072,
15998205,"Shaki Khanate",Q1703449,
15998204,"United Arab Republic",Q170468,
15998203,"Republic of Texas",Q170588,
15998202,"Mbunda Kingdom",Q17166174,
15998201,"Polish–Lithuanian Commonwealth",Q172107,
15998199,"North Vietnam",Q172640,
15998198,"Kapurthala State",Q1728782,
15998197,"Udaipur State",Q17319155,
15998196,"Derbent Khanate",Q1740529,
15998195,"Baku Khanate",Q1740533,
15998194,"Ganja khanate",Q1740536,
15998193,"Quba Khanate",Q1740542,
15998192,"United Kingdom of Great Britain and Ireland",Q174193,
15998191,"United States of Matsya",Q1745385,
15998190,"Slovak Socialist Republic",Q1751495,
15998189,"Empire of China",Q175379,
15998188,"Kingdom of Nejd and Hejaz",Q1756546,
15998187,"Roman Republic",Q175881,
15998186,"Kingdom of Jimma",Q1759078,
15998185,"Pratapgarh State",Q175934,
15998184,"Kuban-Black Sea Soviet Republic",Q1761355,
15998183,"Rewa State",Q176466,
15998182,"Federal State of Austria",Q176495,
15998181,"Kingdom of Luba",Q1768252,
15998180,"Kruševo Republic",Q1771831,
15998179,"Ramdurg State",Q1776972,
15998178,"Kingdom of Gumma",Q1778868,
15998177,"Kuban People's Republic",Q1778994,
15998176,"Alash Autonomy",Q1779823,
15998175,"Second Spanish Republic",Q178038,
15998174,Koriya,Q1784316,
15998173,"Kota State",Q1785349,
15998172,"French colonial empire",Q179023,
15998171,Akwamu,Q1791839,
15998170,"Kingdom of Lunda",Q1796223,
15998169,"Sonepur State",Q1798703,
15998168,"Wadhwan State",Q180235,
15998167,"Kingdom of the Two Sicilies",Q180393,
15998166,"Republic of Vietnam",Q180573,
15998165,"Las Bela State",Q1806438,
15998164,"Transylvania Colony",Q1806491,
15998163,"Dhrol State",Q18111824,
15998162,"Oudh State",Q18129046,
15998161,"Emirate of Trarza",Q1812976,
15998160,"Radhanpur State",Q18164260,
15998159,"Safavid Empire",Q18234383,
15998157,"Crimean Socialist Soviet Republic",Q1842362,
15998156,Anhalt-Bernburg-Schaumburg-Hoym,Q1843786,
15998155,Hesse-Hanau,Q18450904,
15998154,"Trucial States",Q1852345,
15998153,"Provisional Government of Western Thrace",Q1852814,
15998152,"French Indochina",Q185682,
15998151,"Tsardom of Russia",Q186096,
15998150,"Grand Duchy of Baden",Q186320,
15998149,"Worker's Socialist Respublic of Amur",Q18634909,
15998148,"Aden Protectorate",Q1865132,
15998147,"Principality of Albania",Q187035,
15998146,"Dutch East Indies",Q188161,
15998145,"Batavian Republic",Q188553,
15998144,"Empire of Japan",Q188712,
15998143,"Wahidi Balhaf",Q1897800,
15998142,"Central African Empire",Q189988,
15998141,"Federal Republic of Central America",Q190025,
15998140,"Margraviate of Brandenburg-Küstrin",Q1900717,
15998139,"Centrocaspian Dictatorship",Q190636,
15998138,"Kingdom of Yugoslavia",Q191077,
15998137,"Autonomous Province of Western Bosnia",Q192262,
15998136,"Dzungar Khanate",Q1923401,
15998135,"Albanian Republic",Q1923781,
15998134,"Republic of Mountainous Armenia",Q1926064,
15998133,"Union of South Africa",Q193619,
15998132,"Black Sea Soviet Republic",Q1949159,
15998131,"Muhammadgarh State",Q1951905,
15998130,"Nandgaon State",Q1964552,
15998129,"Zuyev Republic",Q1967443,
15998128,Abazinia,Q1968554,
15998127,"Mempawah Kingdom",Q19746028,
15998126,"Principality of Arches and Charleville",Q1975782,
15998125,"Principality of Salm",Q19837669,
15998124,"Provisional Government of Albania",Q1989935,
15998123,Suriname,Q19901436,
15998122,"People's Republic of Albania",Q19915237,
15998121,"Duchy of Courland and Semigallia",Q1991540,
15998120,"Commonwealth realm of Tanganyika",Q19929935,
15998119,"Republic of Vinica",Q19937663,
15998118,"North Caucasian Emirate",Q1994382,
15998117,"Gran Colombia",Q199821,
15998116,"South Yemen",Q199841,
15998115,"Czech and Slovak Federal Republic",Q1998866,
15998114,"Company rule in India",Q2001966,
15998113,"Dominion of Pakistan",Q2006542,
15998112,"First Empire of Haiti",Q2006756,
15998111,"Slovak Soviet Republic",Q200896,
15998110,"Second Czechoslovak Republic",Q2010024,
15998109,"Republic of the Río Grande",Q2014442,
15998108,"French protectorate of Tunisia",Q2017684,
15998107,Vemerana,Q2018564,
15998106,"Socialist Republic of Chile",Q2022804,
15998105,"Second Philippine Republic",Q2027229,
15998104,"Qu'aiti Sultanate",Q202775,
15998103,"Gurian Republic",Q2028318,
15998102,"Sultanate of Deli",Q2030015,
15998101,"Kingdom of Romania",Q203493,
15998100,"Republic of Ploiești",Q2037501,
15998099,"Republic of San Marco",Q2037576,
15998098,"Stad en Lande",Q2039165,
15998097,"All-Palestine Government",Q2051582,
15998096,"Tokugawa shogunate",Q205662,
15998095,"Helvetic Republic",Q206696,
15998094,"Bourbon Restoration in France",Q207162,
15998093,"Second Polish Republic",Q207272,
15998092,"Principality of Bidache",Q2076823,
15998091,"Odesa Soviet Republic",Q2078820,
15998090,"Caucasian Imamate",Q2088141,
15998089,"Kingdom of Greece",Q209065,
15998088,"Kuba Kingdom",Q209327,
15998087,"Principality of Sperlinga",Q20949725,
15998086,"Kingdom of Sedang",Q2096935,
15998085,"Kingdom of New Spain",Q20978063,
15998084,"Kingdom of Lombardy–Venetia",Q209857,
15998083,"Erivan Khanate",Q210198,
15998082,"Fourth Brazilian Republic",Q210542,
15998081,"Socialist Republic of Slovenia",Q211092,
15998080,"Polish People's Republic",Q211274,
15998079,"Yogyakarta Sultanate",Q2114397,
15998078,"Mongolian People's Republic",Q212056,
15998077,Alawi,Q2121839,
15998076,Aqrabi,Q2121850,
15998075,"Surakarta Sunanate",Q2122499,
15998074,"Kingdom of Holland",Q212278,
15998073,"Cossack Hetmanate",Q212439,
15998072,"Rajgarh State",Q2128715,
15998071,"Rajkot State",Q2128743,
15998070,"Fourth republic of Venezuela",Q21296156,
15998069,"Cisalpine Republic",Q213353,
