"Object ID",FAAM-ID,Title,"Musical Works - Object ID","[Agent] Agent - Object ID","[Agent] Role - Object ID","[Agent] Date Start","[Agent] Location Reference - Object ID","[Organisation] Organisation - Object ID","[Organisation] Date Start","[Organisation] Role - Object ID","[Organisation] Location Reference - Object ID"
15992276,KCA-030902499422,"Le chef d'armée = Il condotierro",16002581,15996205,15996288,,,,,,
15992276,KCA-030902499422,"Le chef d'armée = Il condotierro",16002581,16002580,15990789,,,,,,
15992277,KCA-030902642195,"Le chef d'armée = Il condotierro",16002581,16002580,15990789,,,,,,
15992277,KCA-030902642195,"Le chef d'armée = Il condotierro",16002581,15996205,15996288,,,,,,
15992277,KCA-030902642195,"Le chef d'armée = Il condotierro",16002581,16002582,15996312,,47086,,,,
15992277,KCA-030902642195,"Le chef d'armée = Il condotierro",16002581,16002583,15990789,,,,,,
15992278,KCA-030902582383,Sirotka,16002584,15996205,15990792,,,,,,
15992278,KCA-030902582383,Sirotka,16002584,16002580,15990789,,,,,,
15992279,KCA-030902700811,"Drie Songs",16002585,15996205,15990792,,,,,,
15992279,KCA-030902700811,"Drie Songs",16002585,16002587,15996312,,5544,,,,
15992279,KCA-030902700811,"Drie Songs",16002585,16002586,15996288,,,,,,
15992279,KCA-030902700811,"Drie Songs",16002585,15996060,15990789,,,,,,
15992280,KCA-030902700829,"Drie Songs",16002585,15996060,15990789,,,,,,
15992280,KCA-030902700829,"Drie Songs",16002585,16002586,15996288,,,,,,
15992280,KCA-030902700829,"Drie Songs",16002585,15996205,15990792,,,,,,
15992280,KCA-030902700829,"Drie Songs",16002585,16002587,15996312,,5544,,,,
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",16002588,15996205,15990792,,,,,,
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",16002588,15996289,15996288,,,,,,
15992281,KCA-030902700712,"O Maria die daar staat : lied voor sopraan of tenor",16002588,15996060,15990789,,,,,,
15992282,KCA-030902642138,"Faun und Schäferin: liedercyklus für Gesang und Klavier, op. 2 = Le faune et la bergère: suite pour chant et piano, opus 2",16002589,15996205,15990792,,,,,,
15992282,KCA-030902642138,"Faun und Schäferin: liedercyklus für Gesang und Klavier, op. 2 = Le faune et la bergère: suite pour chant et piano, opus 2",16002589,15996148,15990789,,,,,,
15992282,KCA-030902642138,"Faun und Schäferin: liedercyklus für Gesang und Klavier, op. 2 = Le faune et la bergère: suite pour chant et piano, opus 2",16002589,15996253,15996312,,,,,,
15992283,KCA-030903772819,"Beatrijs : sinfonisch poema",16002591,16002590,15990789,,,,,,
15992284,KCA-030903900642,"Beatrijs : sinfonisch poema",16002591,16002590,15990789,,,,,,
15992285,KCA-030903772801,"Beatrijs : sinfonisch poema",,16002590,15990789,1911,,,,,
15992286,KCA-030902499117,"Les sirènes: poème musical pour choeur à 8 voix mixtes, op. 1",,15996069,15990789,1910,,,,,
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",16002592,15996205,15990792,,,,,,
15992287,KCA-030901779048,"Karel van Gelderland: rol van den hertog",16002592,15996062,15990789,,,,,,
15992288,KCA-030902126769,"Alva's intocht",16002445,15996062,15990789,1876,,,,,
15992289,KCA-030902125514,"Allegro con fuoco",16002596,16002469,15990789,1897,,,,,
15992290,KCA-030902125688,"Allegro con fuoco",16002596,16002469,15990789,1893,,,,,
15992294,KCA-030901779030,"Parisina: inleiding van het drama",16002600,15996067,15990793,1897,,16002597,12-08-1897,15990791,5544
15992294,KCA-030901779030,"Parisina: inleiding van het drama",16002600,15996067,15990789,,,16002597,12-08-1897,15990791,5544
15992294,KCA-030901779030,"Parisina: inleiding van het drama",16002600,16002601,15996288,,,16002597,12-08-1897,15990791,5544
15992295,KCA-030902137303,"Het piknikje",,16002603,15996288,,,,,,
15992295,KCA-030902137303,"Het piknikje",,16002602,15990789,1921,,,,,
15992296,KCA-030902610788,"Het hemelbed : ballet . Halewijn : pianouitreksel . Blaaskwintet",,16002604,15990789,,,,,,
15992297,KCA-030904383624,"Dominus conserveteum : à 4 voix",,16002605,15990789,,,,,,
15992298,KCA-030902126678,Andromeda,,16002606,15990789,03-09-1891,5381,,,,
15992299,KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",,16002606,15990789,,,,,,
15992300,KCA-030901519410,"Andante: per clavicembalo",,15996261,15990789,1964,,,,,
15992301,KCA-030902584132,"Action de grâces : voor orgel",,16002593,15990789,,,,,,
15992302,KCA-030902419677,Capricio,16002607,15996205,15990793,,,,,,
15992302,KCA-030902419677,Capricio,16002607,16002593,15990789,,,,,,
15992303,KCA-030902419669,"Fantaisie: pour orchestre",,15996205,15990793,,,,,,
15992303,KCA-030902419669,"Fantaisie: pour orchestre",,16002593,15990789,31-12-1877,5544,,,,
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,16002643,15996288,,,,,,
15992304,KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",,16002593,15990789,25-12-1916,54016,,,,
15992305,KCA-030902584090,Improvisata,,16002593,15990789,,,,,,
15992306,KCA-030902519450,"In nomine Jesu: baryton",,16002593,15990789,,,,,,
15992307,KCA-030902606158,"In nomine Jesu: baryton",,15996205,15990792,01-1960,,,,,
15992307,KCA-030902606158,"In nomine Jesu: baryton",,16002593,15990789,,,,,,
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",,16002593,15990793,1906,54016,,,,
15992308,KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",,16002593,15990789,,,,,,
15992309,KCA-030902580874,"Concert aria : kerstnacht = Air de concert : nuit de Noël",,16002593,15990789,1906,,,,,
15992310,KCA-030902518999,"Concert aria : kerstnacht = Air de concert : nuit de Noël",,16002593,15990789,1906,,,,,
15992311,KCA-030902605721,"Kinder cantate",,16002593,15990789,1885,,,,,
15992312,KCA-030902593638,"Offertoire : orgue ou harmonium",,16002593,15990789,,,,,,
15992313,KCA-030902567517,"Yolande : lyrische legende",,15996205,15990792,,,,,,
15992313,KCA-030902567517,"Yolande : lyrische legende",,16002593,15990789,,,,,,
15992314,KCA-030901410586,"Concertstuk: harmonie-fanfare",,15996205,15990793,,,,,,
15992314,KCA-030901410586,"Concertstuk: harmonie-fanfare",,16002594,15990789,,,,,,
15992315,KCA-030901609500,"Charlotte Corday: drame: ouverture",16002446,15996205,15990793,1890,,,,,
15992315,KCA-030901609500,"Charlotte Corday: drame: ouverture",16002446,15996062,15990789,,,,,,
15992315,KCA-030901609500,"Charlotte Corday: drame: ouverture",16002446,16002143,15996312,,5474,,,,
15992316,KCA-030901609450,"Charlotte Corday: drame: ouverture",16002446,15996062,15990789,1876,,,,,
15992316,KCA-030901609450,"Charlotte Corday: drame: ouverture",16002446,15996205,15990793,05-1898,5544,,,,
15992317,KCA-030900746162,"Charlotte Corday: drame: ouverture",16002446,15996205,15990792,,,,,,
15992317,KCA-030900746162,"Charlotte Corday: drame: ouverture",16002446,15996062,15990789,,,,,,
15992318,KCA-030904470207,"Charlotte Corday: drame: ouverture",16002446,15996062,15990789,,,,,,
15992318,KCA-030904470207,"Charlotte Corday: drame: ouverture",16002446,16002644,15990793,,,,,,
15992319,KCA-030901609492,"Charlotte Corday: ouverture",16002446,15996205,15990792,,,,,,
15992319,KCA-030901609492,"Charlotte Corday: ouverture",16002446,15996205,15990793,,,,,,
15992319,KCA-030901609492,"Charlotte Corday: ouverture",16002446,15996062,15990789,,,,,,
15992320,KCA-030904175582,"Charlotte Corday: ouverture",16002446,15996205,15990792,,,,,,
15992320,KCA-030904175582,"Charlotte Corday: ouverture",16002446,15996062,15990789,,,,,,
15992321,KCA-030901620275,"Charlotte Corday: idylle: inleiding tot het 4de tafereel",16002446,15996205,15990790,,,,,,
15992321,KCA-030901620275,"Charlotte Corday: idylle: inleiding tot het 4de tafereel",16002446,15996062,15990789,1876,,,,,
15992322,KCA-030901609484,"Charlotte Corday: entre acte, valse de la scène de bal",16002446,15996062,15990789,1876,,,,,
15992322,KCA-030901609484,"Charlotte Corday: entre acte, valse de la scène de bal",16002446,15996205,15990790,,,,,,
15992323,KCA-030901620267,"Treurmarsch: uit het lyrisch drama Charlotte Corday",16002446,15996205,15990790,,,,,,
15992323,KCA-030901620267,"Treurmarsch: uit het lyrisch drama Charlotte Corday",16002446,15996062,15990789,1876,,,,,
15992324,KCA-030902126744,"Charlotte Corday: entre acte, valse de la scène de bal",16002446,15996205,15990793,,,,,,
15992324,KCA-030902126744,"Charlotte Corday: entre acte, valse de la scène de bal",16002446,15996205,15990792,,,,,,
15992324,KCA-030902126744,"Charlotte Corday: entre acte, valse de la scène de bal",16002446,15996062,15990789,,,,,,
15992325,KCA-030901302353,"La valse: poème choréographique",16002432,15996205,15990793,,,,,,
15992325,KCA-030901302353,"La valse: poème choréographique",16002432,15996101,15990789,1919,,,,,
15992326,KCA-030904722326,"Manon : opéra de J. Massenet: grande mosaïque en 2 parties",16001161,16002447,15990789,,,,,,
15992326,KCA-030904722326,"Manon : opéra de J. Massenet: grande mosaïque en 2 parties",16001161,16002360,15990789,,,,,,
15992327,KCA-030904386114,"Marsch, op. 17",16002449,15996205,15990793,,,,,,
