id,qid,nodegoat_id,label,qid_label,property
eJe565fW,Q71,0,Geneva,Geneva,Switzerland
XevpVsQU,Q81046,0,Charleroi,Charleroi,Belgium
LkjqCmKC,Q107501,0,Sarcelles,Sarcelles,France
LpahSk8R,Q194420,0,16th arrondissement of Paris,16th arrondissement of Paris,France
bTa6kXe8,Q131329,0,Arras,Arras,France
Me3crQkt,Q270230,0,8th arrondissement of Paris,8th arrondissement of Paris,France
LcQfY4Tm,Q202445,0,Cabourg,Cabourg,France
kW5V4cox,Q6761,0,Livorno,Livorno,Italy
NzFJYAo5,Q13464,0,Foggia,Foggia,Italy
jBmWv3jC,Q18102,0,Saint-Mandé,Saint-Mandé,France
NDNPJvoV,Q193256,0,Montluçon,Montluçon,France
h5oVzrqP,Q1004131,0,Le Taillan-Médoc,Le Taillan-Médoc,France
Jsabwk9J,Q638911,0,Vernouillet,Vernouillet,France
mRKn8gtp,Q39984,0,Cannes,Cannes,France
3y5YGTxy,Q2423318,0,Lower Broadheath,Lower Broadheath,United Kingdom
DySQefLn,Q1646181,0,Worcester,Worcester,United Kingdom
NJ4awYSk,Q869409,0,Neuve-Maison,Neuve-Maison,France
gJh9rCNb,Q1076338,0,Chessy,Chessy,France
Wd8DrrAo,Q621,0,Versailles,Versailles,France
aP4sN24C,Q41185,0,Caen,Caen,France
kft7jDnj,Q641607,0,Le Vésinet,Le Vésinet,France
SFiJwAPH,Q200126,0,18th arrondissement of Paris,18th arrondissement of Paris,France
6PcXdHQv,Q133069,0,Bourg-en-Bresse,Bourg-en-Bresse,France
aHD69vBe,Q175129,0,13th arrondissement of Paris,13th arrondissement of Paris,France
UxpLFV5P,Q532352,0,La Villette,La Villette,France
mpaqtXTK,Q2970412,0,Romainville Château,Romainville Château,France
kuQs9DeD,Q6737,0,Castellammare di Stabia,Castellammare di Stabia,Italy
ULtTJ7ux,Q189236,0,Velletri,Velletri,Italy
8Ps8YtTw,Q2845756,0,former 5th arrondissement of Paris,former 5th arrondissement of Paris,France
4oBhHZid,Q259463,0,7th arrondissement of Paris,7th arrondissement of Paris,France
A5w5N2s7,Q1130822,0,Edgeworth,Edgeworth,United States of America
ZwGv9DdE,Q171689,0,12th arrondissement of Paris,12th arrondissement of Paris,France
Ljiz7Pro,Q3451124,0,rue de Ventadour,rue de Ventadour,France
jxKK4Mwd,Q3450635,0,rue de Castiglione,rue de Castiglione,France
EPCgSTYA,Q189715,0,Courbevoie,Courbevoie,France
X4C7TW5x,Q15149908,0,former 11th arrondissement of Paris,former 11th arrondissement of Paris,France
ixNesbEv,Q328077,0,Vertou,Vertou,France
jwZCEL66,Q187911,0,Bergerac,Bergerac,France
i5KuWTpk,Q187153,0,14th arrondissement of Paris,14th arrondissement of Paris,France
ZuXucF3N,Q16121,0,Beaune,Beaune,France
MPekeT4d,Q13373,0,Lucca,Lucca,Italy
2iowGzdr,Q111901161,0,Brussels,Brussels,Belgium
HepeVksP,Q3344,0,2nd arrondissement of Lyon,2nd arrondissement of Lyon,France
QLmppQZE,Q1144926,0,Saint-Julien-de-l'Escap,Saint-Julien-de-l'Escap,France
myGD95dL,Q2922038,0,boulevard des Batignolles,boulevard des Batignolles,France
GVQAraJD,Q518204,0,Querfurt,Querfurt,Germany
77pRaPL8,Q238434,0,Saint-Médard-en-Jalles,Saint-Médard-en-Jalles,France
3rgsapfR,Q174019,0,Béziers,Béziers,France
N7D2KQes,Q71724,0,Lorient,Lorient,France
Qbg9wtnb,Q23482,0,Marseille,Marseille,France
MXdLpRKd,Q736462,0,Le Lavandou,Le Lavandou,France
9EmuVyHX,Q41876,0,Reims,Reims,France
jvzfZrxy,Q178878,0,Békéscsaba,Békéscsaba,Hungary
a8By8Pqj,Q16532200,0,Bercy,Bercy,France
ZV9oKCxi,Q504953,0,Vouvray,Vouvray,France
6KPGTuk7,Q34404,0,New Orleans,New Orleans,United States of America
fTrQa83t,Q1345,0,Philadelphia,Philadelphia,United States of America
d9YQvB32,Q688596,0,Hawthorne,Hawthorne,United States of America
MUfNyTFg,Q648,0,Lille,Lille,France
VFdd34Vd,Q14889,0,Schwabach,Schwabach,Germany
nxZJwJZ6,Q993942,0,Cieplice Śląskie-Zdrój,Cieplice Śląskie-Zdrój,Poland
NMBgXeGD,Q14821,0,Coburg,Coburg,Germany
nVd92sv3,Q2119,0,Mannheim,Mannheim,Germany
Ly6uBhyd,Q288781,0,Kensington,Kensington,United Kingdom
ChYvViUD,Q210205,0,Pest,Pest,Hungary
DSPVf4Sg,Q69035,0,Chêne-Bourg,Chêne-Bourg,Switzerland
PHN9hMsa,Q42716,0,Saint-Étienne,Saint-Étienne,France
kTcYysaY,Q733009,0,Lorgues,Lorgues,France
iUj6z92U,Q201352,0,Pontoise,Pontoise,France
ay7kvGC8,Q40898,0,Nancy,Nancy,Duchy of Lorraine
mfnsFcRY,Q130272,0,Chartres,Chartres,France
6WHPpjFs,Q1165029,0,Le Pouliguen,Le Pouliguen,France
aiHspLU2,Q2973,0,Darmstadt,Darmstadt,Germany
9mUezGMN,Q633628,0,Contrexéville,Contrexéville,France
gvkiEQxM,Q1165862,0,Saintry-sur-Seine,Saintry-sur-Seine,France
CroMXjke,Q6625,0,Agen,Agen,France
PvjS79ck,Q343,0,La Flèche,La Flèche,France
